Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,126.28999999999999,1515.48,USD,Number of Application Load Balancers (2)
"My Estimate,US East (N. Virginia),,Amazon EC2,0,1107.9,13294.80,USD,""Operating system (Linux), Quantity (16), Pricing strategy (On-Demand Instances  ), Storage amount (15 GB), Instance type (t2.large)"""
"My Estimate,US East (N. Virginia),Social Media App Database,Amazon RDS for PostgreSQL,0,11920.64,143047.68,USD,""Storage volume (General Purpose SSD (gp2)), Storage amount (6 TB per month), Nodes (2), Instance Type (db.m5.8xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (8 TB)"""
"My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,2662.31,31947.72,USD,""DT Inbound: Internet (30 TB per month), DT Outbound: Internet (30 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (2662.31)"""
My Estimate,US East (N. Virginia),,S3 Standard,0,595.84,7150.08,USD,S3 Standard storage (8 TB per month)
"My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,""DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"""
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,1876.05,22512.60,USD,Number of NAT Gateways (1)



Acknowledgement
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.
